zip,lat,lon,city,county,state house dist,state senate dist,congressional dist,population
54498,44.944248,-90.638388,Withee,Clark County,Assembly District 68,State Senate District 23,WI7,2372
54112,45.06498,-88.03427,Coleman,Marinette County,Assembly District 89,State Senate District 30,WI8,2349
54423,44.51053,-89.42623,Custer,Portage County,Assembly District 71,State Senate District 24,WI3,2347
53044,43.748441,-87.776246,Kohler,Sheboygan County,Assembly District 27,State Senate District 9,WI6,2334
53936,43.88692,-89.70624,Grand Marsh,Adams County,Assembly District 41,State Senate District 14,WI3,2333
54947,44.194993,-88.688629,Larsen,Winnebago County,Assembly District 56,State Senate District 19,WI8,2332
53139,42.720022,-88.120616,Kansasville,Racine County,Assembly District 63,State Senate District 21,WI1,2324
54941,43.85627,-88.985883,Green Lake,Green Lake County,Assembly District 41,State Senate District 14,WI6,2313
53002,43.42055,-88.34093,Allenton,Washington County,Assembly District 59,State Senate District 20,WI5,2305
54111,44.810274,-88.391648,Cecil,Shawano County,Assembly District 36,State Senate District 12,WI8,2303
54810,45.44829,-92.4502,Balsam Lake,Polk County,Assembly District 28,State Senate District 10,WI7,2302
53576,42.614273,-89.233129,Orfordville,Rock County,Assembly District 43,State Senate District 15,WI2,2300
54618,43.988481,-90.239261,Camp Douglas,Juneau County,Assembly District 50,State Senate District 17,WI3,2299
53586,42.57334,-90.23096,Shullsburg,Lafayette County,Assembly District 51,State Senate District 17,WI2,2281
54534,46.371032,-90.221645,Hurley,Iron County,Assembly District 74,State Senate District 25,WI7,2278
53516,42.81028,-89.86207,Blanchardville,Lafayette County,Assembly District 51,State Senate District 17,WI2,2268
54141,44.744566,-87.995493,Little Suamico,Oconto County,Assembly District 89,State Senate District 30,WI8,2257
53820,42.692445,-90.731654,Potosi,Grant County,Assembly District 49,State Senate District 17,WI3,2235
53951,43.4031,-89.872232,North Freedom,Sauk County,Assembly District 81,State Senate District 27,WI2,2233
53170,42.552018,-88.160836,Silver Lake,Kenosha County,Assembly District 61,State Senate District 21,WI1,2211
53065,43.6861,-88.5465,Oakfield,Fond Du Lac County,Assembly District 52,State Senate District 18,WI6,2208
54004,45.33135,-92.1713,Clayton,Polk County,Assembly District 28,State Senate District 10,WI7,2207
54770,44.54969,-91.39266,Strum,Trempealeau County,Assembly District 92,State Senate District 31,WI3,2152
53011,43.65833,-88.00704,Cascade,Sheboygan County,Assembly District 59,State Senate District 20,WI6,2149
54642,44.196358,-90.979249,Melrose,Jackson County,Assembly District 92,State Senate District 31,WI3,2148
54443,44.588962,-89.707997,Junction City,Portage County,Assembly District 70,State Senate District 24,WI3,2142
54909,44.25886,-89.40706,Almond,Portage County,Assembly District 72,State Senate District 24,WI3,2139
53585,42.50252,-88.72899,Sharon,Walworth County,Assembly District 31,State Senate District 11,WI1,2138
54014,44.655504,-92.573652,Hager City,Pierce County,Assembly District 93,State Senate District 31,WI3,2134
54205,44.596082,-87.637308,Casco,Kewaunee County,Assembly District 1,State Senate District 1,WI8,2100
53944,43.714061,-89.949337,Lyndon Station,Juneau County,Assembly District 50,State Senate District 17,WI3,2097
54425,44.996496,-90.374411,Dorchester,Clark County,Assembly District 69,State Senate District 23,WI7,2095
54847,46.599552,-91.437437,Iron River,Bayfield County,Assembly District 74,State Senate District 25,WI7,2083
53529,43.239966,-89.523346,Dane,Dane County,Assembly District 42,State Senate District 14,WI2,2068
54245,44.053321,-87.899912,Valders,Manitowoc County,Assembly District 25,State Senate District 9,WI6,2066
54817,45.732675,-91.615044,Birchwood,Washburn County,Assembly District 75,State Senate District 25,WI7,2064
54470,45.31747,-90.20848,Rib Lake,Taylor County,Assembly District 87,State Senate District 29,WI7,2042
53504,42.690143,-89.922697,Argyle,Lafayette County,Assembly District 51,State Senate District 17,WI2,2039
53093,43.662704,-87.930254,Waldo,Sheboygan County,Assembly District 59,State Senate District 20,WI6,2036
54435,45.30885,-89.49651,Gleason,Lincoln County,Assembly District 35,State Senate District 12,WI7,2032
54026,45.196909,-92.530754,Star Prairie,St. Croix County,Assembly District 29,State Senate District 10,WI7,2018
54558,45.90162,-89.48736,Saint Germain,Vilas County,Assembly District 34,State Senate District 12,WI7,2000
54943,44.103548,-89.491566,Hancock,Waushara County,Assembly District 72,State Senate District 24,WI6,1992
54740,44.744453,-92.226414,Elmwood,Pierce County,Assembly District 93,State Senate District 31,WI3,1989
54247,44.14472,-87.82148,Whitelaw,Manitowoc County,Assembly District 25,State Senate District 9,WI6,1988
54966,44.21386,-89.49234,Plainfield,Waushara County,Assembly District 72,State Senate District 24,WI6,1979
53561,43.364531,-89.66396,Merrimac,Sauk County,Assembly District 81,State Senate District 27,WI2,1970
54745,45.22441,-91.11736,Holcombe,Chippewa County,Assembly District 67,State Senate District 23,WI7,1968
53503,43.16555,-89.9129,Arena,Iowa County,Assembly District 81,State Senate District 27,WI2,1963
54741,44.60024,-90.96293,Fairchild,Eau Claire County,Assembly District 68,State Senate District 23,WI3,1951
53091,43.483635,-88.450107,Theresa,Dodge County,Assembly District 39,State Senate District 13,WI5,1935
53517,43.03822,-89.804576,Blue Mounds,Dane County,Assembly District 80,State Senate District 27,WI2,1925
54486,44.75984,-89.039052,Tigerton,Shawano County,Assembly District 6,State Senate District 2,WI8,1917
53001,43.61916,-87.95204,Adell,Sheboygan County,Assembly District 26,State Senate District 9,WI6,1882
54754,44.436841,-90.796318,Merrillan,Clark County,Assembly District 69,State Senate District 23,WI7,1868
54433,45.16664,-90.80763,Gilman,Taylor County,Assembly District 87,State Senate District 29,WI7,1864
54562,45.762075,-89.157339,Three Lakes,Oneida County,Assembly District 34,State Senate District 12,WI7,1858
53019,43.6936,-88.36094,Eden,Fond Du Lac County,Assembly District 59,State Senate District 20,WI6,1847
53059,43.289809,-88.533958,Neosho,Dodge County,Assembly District 39,State Senate District 13,WI5,1832
53007,43.108459,-88.071489,Butler,Waukesha County,Assembly District 22,State Senate District 8,WI5,1821
54655,43.369813,-90.808363,Soldiers Grove,Crawford County,Assembly District 96,State Senate District 32,WI3,1816
54766,45.349548,-90.887173,Sheldon,Taylor County,Assembly District 87,State Senate District 29,WI7,1801
54635,44.40376,-91.044171,Hixton,Jackson County,Assembly District 92,State Senate District 31,WI3,1794
54726,44.95191,-91.03487,Boyd,Chippewa County,Assembly District 68,State Senate District 23,WI3,1792
54514,46.01301,-90.49045,Butternut,Ashland County,Assembly District 74,State Senate District 25,WI7,1791
54416,44.86303,-88.98205,Bowler,Shawano County,Assembly District 35,State Senate District 12,WI8,1784
54471,44.929692,-89.364964,Ringle,Marathon County,Assembly District 85,State Senate District 29,WI7,1780
54859,46.09709,-91.859913,Minong,Washburn County,Assembly District 73,State Senate District 25,WI7,1770
53579,43.287987,-88.887444,Reeseville,Dodge County,Assembly District 37,State Senate District 13,WI5,1765
54128,44.85303,-88.78816,Gresham,Shawano County,Assembly District 6,State Senate District 2,WI8,1749
53125,42.55141,-88.5751,Fontana,Walworth County,Assembly District 31,State Senate District 11,WI1,1741
53543,43.04666,-90.37985,Highland,Iowa County,Assembly District 51,State Senate District 17,WI2,1738
53034,43.330523,-88.603032,Hustisford,Dodge County,Assembly District 39,State Senate District 13,WI5,1735
54849,46.493011,-91.71342,Lake Nebagamon,Douglas County,Assembly District 73,State Senate District 25,WI7,1732
53203,43.038313,-87.916534,Milwaukee,Milwaukee County,Assembly District 16,State Senate District 6,WI4,1726
54670,43.848835,-90.468791,Wilton,Monroe County,Assembly District 96,State Senate District 32,WI3,1724
54469,44.350934,-89.876274,Port Edwards,Wood County,Assembly District 72,State Senate District 24,WI3,1717
53078,43.34028,-88.4576,Rubicon,Dodge County,Assembly District 39,State Senate District 13,WI5,1715
54930,44.026085,-89.486854,Coloma,Waushara County,Assembly District 72,State Senate District 24,WI6,1710
54627,44.184171,-91.257707,Ettrick,Trempealeau County,Assembly District 92,State Senate District 31,WI3,1707
54631,43.269667,-90.83178,Gays Mills,Crawford County,Assembly District 96,State Senate District 32,WI3,1706
53006,43.602789,-88.52302,Brownsville,Dodge County,Assembly District 39,State Senate District 13,WI6,1704
53137,43.008958,-88.6726,Helenville,Jefferson County,Assembly District 33,State Senate District 11,WI5,1690
54638,43.79219,-90.36846,Kendall,Monroe County,Assembly District 50,State Senate District 17,WI3,1680
53063,43.957599,-87.792815,Newton,Manitowoc County,Assembly District 27,State Senate District 9,WI6,1677
54858,45.51583,-92.461712,Milltown,Polk County,Assembly District 28,State Senate District 10,WI7,1672
53926,43.679317,-89.186656,Dalton,Green Lake County,Assembly District 42,State Senate District 14,WI6,1665
54613,44.02719,-89.8879,Arkdale,Adams County,Assembly District 72,State Senate District 24,WI3,1663
54489,44.462338,-90.003283,Vesper,Wood County,Assembly District 70,State Senate District 24,WI7,1660
